reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment,review_length,has_reply,clean_review,sentiment_label,is_valid
6d357314-72da-49c7-bba2-273944b23a13,Neni Isdiarti,https://play-lh.googleusercontent.com/a-/ALV-UjWwVbDgjVY_YpFzqC5CAn4A8XQV0JsUhsN7shpJwtm3HgPoy4A,Number one in the world.,5,0,,2025-03-31 18:32:01,,,,positive,24,False,number one in the world,netral,False
d36d3c52-f7a8-4edb-9fee-3b0b5ef8f24e,hiro hito,https://play-lh.googleusercontent.com/a-/ALV-UjWtCRSBhCprl-4v2GwbjMhVW0c-yZSsd30Lz1PgGvuJgbQEaWM,bot di mode 5 vs 5 lebih jago dari pada bot battle royale tolong bot di 5 vs 5 di kurangin jago nya,3,0,1.6.50,2025-03-31 17:17:35,,,1.6.50,neutral,99,False,bot mode vs lebih jago pada bot battle royale bot vs rangin jago nya,netral,True
4db0b043-0973-4bac-8260-5d9bf84a85f8,Rivalza Rofianando,https://play-lh.googleusercontent.com/a/ACg8ocK5kFjGOnEnm3L-za0sRfXZTfaut-CCIkMvgXICKTAZiL1GVQ=mo,ini game kadang Mudha banget kadang susah banget gila,1,0,1.6.50,2025-03-31 17:08:11,,,1.6.50,negative,53,False,game kadang mudha banget kadang susah banget gila,negatif,True
6cd2c5a1-4d0e-4e64-884d-fff82bad8f1c,FAJARS 2008,https://play-lh.googleusercontent.com/a-/ALV-UjUwJDBb4WqUwy5crbm5VeCjypYb6ctP3apIZ86_HQHLzg090GKy,"gamenya bagus, tapi tidak ramah hp kentang",4,0,,2025-03-31 16:53:57,,,,positive,42,False,gamenya bagus tidak ramah hp kentang,negatif,False
704f933c-d556-45ad-92df-0b2f36bf1510,Rizky Alfarisi,https://play-lh.googleusercontent.com/a-/ALV-UjXyULK4zejAHUEB8CXcJemcCFGw1g_G03HP0PXKEk2zN2LbE4rc,entah napa abis update jadi sering lag heran padahal jaringan bagus,1,0,1.6.50,2025-03-31 16:37:52,,,1.6.50,negative,67,False,entah napa abis update jadi sering lag heran padahal jaring bagus,netral,False
467d7f26-3435-4f3e-a2fd-72b31fc0d9c2,Qionglin,https://play-lh.googleusercontent.com/a-/ALV-UjVgUdOfoI1KP0JeaIJizWTYQxrHZl8C6MTYNNK0TZxp1TTrh48o,Game nya bagus 👍🏻,5,0,,2025-03-31 16:31:05,,,,positive,17,False,game nya bagus,positif,True
e2037eb5-e939-4b39-9a12-36929c03de02,BOTOLGUY mc,https://play-lh.googleusercontent.com/a-/ALV-UjUPUSwteUtcbCIjM8JFJQrjNMVxPmBMZU7oFPaoi-1aDicmApwk,"setiap gw login loading nya lama mulu ah jadi males main sumpah, bisa di fix gk",3,0,1.6.50,2025-03-31 16:04:12,,,1.6.50,neutral,79,False,gw login loading nya lama mulu ah jadi males main sumpah di fix gk,netral,True
a61d315b-03c3-4eda-bb11-46b95da658cd,Agusivan Ivan,https://play-lh.googleusercontent.com/a/ACg8ocK4TOVh8snXunzuy-r6OXr7dRKggjf-AqS_uFV0jW-vf37FGg=mo,kurang stabil kemudi mobilnya,1,0,1.6.50,2025-03-31 15:54:26,,,1.6.50,negative,29,False,kurang stabil kemudi mobil,netral,False
ebc9f977-60ca-40d7-be90-cef9c9d17395,"Matius Tato,",https://play-lh.googleusercontent.com/a/ACg8ocI9Lib15RobRmGCsRUnuPHzRu4vzE_EuA1sF4VBHWjuRyoGjw=mo,jarang orang baik muda kaya.tapi orang jahatlah muda kaya.tapi saatnya kiamat akan datang.,1,2,1.6.50,2025-03-31 15:40:48,,,1.6.50,negative,90,False,jarang orang baik muda kayatapi orang jahat muda kayatapi saat kiamat datang,netral,False
325aa10a-df9f-4450-9b14-6321c9d41ccd,Zakaria Agam,https://play-lh.googleusercontent.com/a/ACg8ocI-6zo4IoHoMgjp7iN3X98k3mGU8HuECdv7zL9JNakAvwm-pg=mo,fun and keeps encourging my son to fight,5,0,,2025-03-31 15:07:10,,,,positive,40,False,fun and keeps encourging my son to fight,netral,False
067c7906-6b51-48ff-a65b-b8a08d8050d6,LordGrims,https://play-lh.googleusercontent.com/a-/ALV-UjVcGBDOA8Pk0v42_D9Gjqm69jLMxZkxBoPa78kkBRjFCQM6WnWk,Terimakasih telah mengembalikan Event Nowhere Invitation,5,0,1.6.50,2025-03-31 14:11:16,,,1.6.50,positive,56,False,terimakasih kembali event nowhere invitation,netral,False
baf345d2-b0e0-4842-9037-c3e91ded3e79,Ahmad rajendra Yong,https://play-lh.googleusercontent.com/a/ACg8ocIjinhMwFMAGOzd7Yq6sXRtDe_CmdDFjVbgpYKINyDN-gGsVg=mo,bagus kali ni game selalu di hati,5,0,1.6.50,2025-03-31 12:54:41,,,1.6.50,positive,33,False,bagus kali ni game selalu hati,positif,True
a374ec57-3055-485f-a801-6367b5e929c6,Alfano W Wahyunugroho,https://play-lh.googleusercontent.com/a-/ALV-UjWg2wErhoUcY9Hv8P-tdB_42L6tJDK4X7s0z14txpSDpCCOYC9U,"Gimana ya ini kok saya gabisa reset pw, diemail udah dan ga dibales², tolong dong ini",2,0,,2025-03-31 12:25:54,,,,negative,85,False,gimana kok gabisa reset pw email udah ga dibales dong ini,netral,False
